,Objem,Materiál nádoby,KU - městská část,KU - městský obvod,KU - ulice,KU - číslo orientační,Název stanoviště,Číslo stanoviště,Typ odpadu,Kód nádoby,Počet nádob,Rajón,T1,T2,T3,T4,Provozovna,lat,long,hash
0,240 l,Plast,Jarovce,Bratislava 5,Kôstková,30,86295 - Kôstková /30,86295.0,BRO,17.0,1,BR2,0.0,5.0,0.0,0.0,M1,48.0623611,17.1155433,3598692670
2,240 l,Plast,Rusovce,Bratislava 5,Vývojová,4,816898 - Vývojová /4,816898.0,BRO,205.0,1,BR2,5.0,0.0,0.0,0.0,M1,48.0546275,17.1422231,6864126788
46,240 l,Plast,Petržalka,Bratislava 5,Žltá,12,22914 - Žltá /12,22914.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0875669,17.1262613,5249204587
47,240 l,Plast,Čunovo,Bratislava 5,Dlhá,63,82512 - Dlhá /63,82512.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0333501,17.1952456,2400434051
48,240 l,Plast,Čunovo,Bratislava 5,Dlhá,11,82498 - Dlhá /47,82498.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0333501,17.1952456,3407889842
49,240 l,Plast,Petržalka,Bratislava 5,Novobanská,16,22690 - Novobanská /16,22690.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.1268414,17.0914906,1956035873
51,120 l,Plast,Čunovo,Bratislava 5,Cezmínová,5,817954 - Cezmínová /5,817954.0,BRO,204.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0311763,17.194946,8166555683
52,240 l,Plast,Čunovo,Bratislava 5,Cezmínová,6,81820 - Cezmínová /6,81820.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0311763,17.194946,9630403243
53,240 l,Plast,Čunovo,Bratislava 5,Cezmínová,8,81817 - Cezmínová /8,81817.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0311763,17.194946,511925968
54,120 l,Plast,Čunovo,Bratislava 5,Cezmínová,10,81818 - Cezmínová /10,81818.0,BRO,204.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0311763,17.194946,3723933166
55,240 l,Plast,Čunovo,Bratislava 5,Cezmínová,13,819334 - Cezmínová /13,819334.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0311763,17.194946,3806289828
56,240 l,Plast,Čunovo,Bratislava 5,Dlhá,4,818479 - Dlhá /parc.č.289,818479.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0333501,17.1952456,1199685201
57,120 l,Plast,Čunovo,Bratislava 5,Dlhá,27,82492 - Dlhá /27,82492.0,BRO,204.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0333501,17.1952456,1187050622
58,120 l,Plast,Čunovo,Bratislava 5,Dlhá,5A,818196 - Dlhá /5A,818196.0,BRO,204.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0333501,17.1952456,2192007557
59,120 l,Plast,Čunovo,Bratislava 5,Hraničiarska,9,83736 - Hraničiarska /9,83736.0,BRO,204.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0303903,17.1993575,1234048021
60,120 l,Plast,Čunovo,Bratislava 5,Hraničiarska,12,83739 - Hraničiarska /12,83739.0,BRO,204.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0303903,17.1993575,4127157745
61,240 l,Plast,Čunovo,Bratislava 5,Hraničiarska,114,83776 - Hraničiarska /114,83776.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0303903,17.1993575,636355445
62,240 l,Plast,Čunovo,Bratislava 5,Hraničiarska,136,83788 - Hraničiarska /136,83788.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0303903,17.1993575,4391915601
63,240 l,Plast,Čunovo,Bratislava 5,Hraničiarska,28,83791 - Hraničiarska /28,83791.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0303903,17.1993575,3802137589
64,240 l,Plast,Čunovo,Bratislava 5,Hraničiarska,154,83801 - Hraničiarska /154,83801.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0303903,17.1993575,2342945804
65,240 l,Plast,Čunovo,Bratislava 5,Iberková,1,84293 - Iberková / ,84293.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0317126,17.1941587,8747010650
66,240 l,Plast,Čunovo,Bratislava 5,Iberková,7,818152 - Iberková /7,818152.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0317126,17.1941587,9453303275
67,240 l,Plast,Čunovo,Bratislava 5,Iberková,14,84292 - Iberková /14,84292.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.0317126,17.1941587,5674130293
68,240 l,Plast,Čunovo,Bratislava 5,Ibišteková,6,84301 - Ibištekova / ,84301.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.031348,17.1930495,1628905500
69,240 l,Plast,Čunovo,Bratislava 5,Ibišteková,4,818499 - Ibišťeková /4,818499.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.031348,17.1930495,6658786204
70,240 l,Plast,Čunovo,Bratislava 5,Ibišteková,8,818844 - Ibišteková /8,818844.0,BRO,205.0,1,BR4,0.0,5.0,0.0,0.0,M1,48.031348,17.1930495,8737527862
